Excgflg,Mktflg,Date,Rmrf,Smb,Hml
0,A,2009/9/22,-0.0227,-0.001,-0.0072
0,A,2009/9/23,-0.0236,-0.0011,0.0028
0,A,2009/9/24,0.0006,-0.0047,0.0041
0,A,2009/9/25,-0.0081,-0.0013,-0.0022
0,A,2009/9/28,-0.0267,-0.006,-0.0081
0,A,2009/9/29,-0.0072,-0.0161,0.0024
0,A,2009/9/30,0.0104,-0.0017,-0.0014
0,A,2009/10/9,0.0499,-0.0017,0.0058
0,A,2009/10/12,-0.0012,0.0093,-0.0054
0,A,2009/10/13,0.0152,0.0025,0.0071
0,A,2009/10/14,0.009,0.0007,0.0039
0,A,2009/10/15,0.0031,0.004,0.0067
0,A,2009/10/16,0.0011,0.0016,-0.0043
0,A,2009/10/19,0.0242,-0.0046,0.0012
0,A,2009/10/20,0.015,0.0027,0.0005
0,A,2009/10/21,-0.0041,-0.003,0.0052
0,A,2009/10/22,-0.0043,0.0098,-0.0031
0,A,2009/10/23,0.0177,-0.0053,0.0044
0,A,2009/10/26,0,0.0021,-0.0026
0,A,2009/10/27,-0.0281,0.0014,-0.0061
0,A,2009/10/28,0.0048,0.0029,0
0,A,2009/10/29,-0.0222,0.0027,-0.0035
0,A,2009/10/30,0.013,0.0014,-0.0036
0,A,2009/11/2,0.0309,0.0009,-0.0022
0,A,2009/11/3,0.0135,0.0086,0.0046
0,A,2009/11/4,0.0056,0.0044,-0.0017
0,A,2009/11/5,0.0077,0.0026,0.0041
0,A,2009/11/6,0.0032,-0.0026,0.0044
0,A,2009/11/9,0.0046,0.0055,-0.0016
0,A,2009/11/10,0.0026,-0.0008,-0.0072
0,A,2009/11/11,-0.0002,0.0079,-0.0031
0,A,2009/11/12,0.0009,-0.0001,-0.0016
0,A,2009/11/13,0.0066,0.005,-0.0021
0,A,2009/11/16,0.0275,-0.0062,0.0065
0,A,2009/11/17,0.0027,0.0051,-0.0009
0,A,2009/11/18,0.0056,0.001,0.0047
0,A,2009/11/19,0.0062,0.01,-0.0006
0,A,2009/11/20,-0.0023,0.009,-0.0036
0,A,2009/11/23,0.0108,0.0062,0.0001
0,A,2009/11/24,-0.037,-0.0169,0.0059
0,A,2009/11/25,0.0237,0.009,0.0022
0,A,2009/11/26,-0.0387,-0.0052,0
0,A,2009/11/27,-0.0263,-0.0031,-0.0069
0,A,2009/11/30,0.0361,0.0047,-0.0043
0,A,2009/12/1,0.0165,0.0128,0.0009
0,A,2009/12/2,0.0112,0.0057,0.0059
0,A,2009/12/3,-0.0007,0.0101,0.0022
0,A,2009/12/4,0.0062,-0.0238,0.0169
0,A,2009/12/7,0.0075,0.0091,-0.0051
0,A,2009/12/8,-0.0087,0.0058,0.0003
0,A,2009/12/9,-0.0157,-0.0033,0.0032
0,A,2009/12/10,0.0054,0.0037,-0.0015
0,A,2009/12/11,-0.0015,0.0019,-0.0016
0,A,2009/12/14,0.0119,-0.0137,0.0161
0,A,2009/12/15,-0.0054,0.01,-0.0045
0,A,2009/12/16,-0.0067,0.0026,-0.0055
0,A,2009/12/17,-0.0247,-0.0044,-0.0003
0,A,2009/12/18,-0.0243,-0.0094,0.0041
0,A,2009/12/21,0.005,0.0071,-0.0023
0,A,2009/12/22,-0.0234,-0.0025,0.003
0,A,2009/12/23,0.0107,0.0052,-0.0017
0,A,2009/12/24,0.0289,-0.0005,0.0002
0,A,2009/12/25,-0.0013,0.0054,-0.0028
0,A,2009/12/28,0.0156,0.0027,-0.0002
0,A,2009/12/29,0.007,0.0013,0.0018
0,A,2009/12/30,0.0118,-0.0136,0.0056
0,A,2009/12/31,0.0055,0.0059,-0.0031
0,A,2010/1/4,-0.0076,0.0125,-0.0035
0,A,2010/1/5,0.0082,0.0068,-0.0012
0,A,2010/1/6,-0.0068,0.0006,-0.0048
0,A,2010/1/7,-0.0214,-0.0004,-0.0024
0,A,2010/1/8,0.0043,0.0079,-0.0048
0,A,2010/1/11,0.003,0.0089,-0.0016
0,A,2010/1/12,0.0176,0.0011,0.004
0,A,2010/1/13,-0.0276,0.0121,-0.0073
0,A,2010/1/14,0.0166,0.0095,-0.0033
0,A,2010/1/15,0.0045,0.0014,0.0025
0,A,2010/1/18,0.0065,0.004,-0.0019
0,A,2010/1/19,0.0006,0.0017,0.0018
0,A,2010/1/20,-0.0333,-0.0024,-0.0043
0,A,2010/1/21,0.005,0.0079,-0.0014
0,A,2010/1/22,-0.0139,-0.0027,0.005
0,A,2010/1/25,-0.0117,-0.0034,-0.0051
0,A,2010/1/26,-0.0269,-0.0067,-0.005
0,A,2010/1/27,-0.012,-0.0006,-0.0022
0,A,2010/1/28,0.0051,0.0021,-0.0043
0,A,2010/1/29,0.0008,0.0088,-0.0063
0,A,2010/2/1,-0.0145,0.0013,-0.0075
0,A,2010/2/2,-0.0033,0.0008,0.004
0,A,2010/2/3,0.0223,-0.0022,0.0092
0,A,2010/2/4,0.0001,0.0119,-0.004
0,A,2010/2/5,-0.0193,0.0019,-0.0073
0,A,2010/2/8,-0.0013,0.002,-0.0044
0,A,2010/2/9,0.0032,-0.0044,0.0048
0,A,2010/2/10,0.0126,-0.0001,0.0011
0,A,2010/2/11,0.0007,-0.0084,0.0007
0,A,2010/2/12,0.0115,0.0052,-0.0042
0,A,2010/2/22,-0.0042,0.0106,-0.0009
0,A,2010/2/23,-0.0045,0.0146,-0.0023
0,A,2010/2/24,0.0154,0.0027,-0.0027
0,A,2010/2/25,0.0142,0.003,0.0009
0,A,2010/2/26,-0.0019,0.0053,0.0016
0,A,2010/3/1,0.0124,0.0033,-0.0004
0,A,2010/3/2,-0.003,0.0073,-0.0043
0,A,2010/3/3,0.0083,0.0054,-0.0034
0,A,2010/3/4,-0.0266,-0.0085,0.0008
0,A,2010/3/5,0.0024,-0.0017,-0.0001
0,A,2010/3/8,0.0083,0.0047,0
0,A,2010/3/9,0.0054,-0.003,0.0028
0,A,2010/3/10,-0.0084,-0.0027,0.0009
0,A,2010/3/11,-0.0008,-0.0023,0.0031
0,A,2010/3/12,-0.0137,-0.0008,0.0005
0,A,2010/3/15,-0.0122,0.0062,-0.0007
0,A,2010/3/16,0.007,0.0057,0.0015
0,A,2010/3/17,0.0216,0.0039,-0.0028
0,A,2010/3/18,-0.0012,0.0024,-0.0017
0,A,2010/3/19,0.0078,-0.0002,0.004
0,A,2010/3/22,0.0033,0.0053,-0.003
0,A,2010/3/23,-0.0066,0.0012,-0.0032
0,A,2010/3/24,0.0027,0.003,-0.0006
0,A,2010/3/25,-0.0125,-0.0011,0.0012
0,A,2010/3/26,0.0139,-0.0004,0.0028
0,A,2010/3/29,0.0199,-0.0108,0.004
0,A,2010/3/30,0.0027,0.0042,-0.0017
0,A,2010/3/31,-0.0047,0.0087,-0.0062
0,A,2010/4/1,0.0132,0.0004,0.0001
0,A,2010/4/2,0.0031,-0.0018,0.0028
0,A,2010/4/6,-0.0002,0.0067,-0.001
0,A,2010/4/7,-0.002,0.0055,-0.0038
0,A,2010/4/8,-0.0088,0.0082,-0.0063
0,A,2010/4/9,0.0104,0.0043,0.0006
0,A,2010/4/12,-0.0036,0.0144,-0.0108
0,A,2010/4/13,0.0047,-0.0212,0.0052
0,A,2010/4/14,0.0041,0.0068,-0.0025
0,A,2010/4/15,-0.0048,-0.005,0.004
0,A,2010/4/16,-0.0091,0.0052,-0.0026
0,A,2010/4/19,-0.0491,0.0052,-0.0124
0,A,2010/4/20,0.0013,0.0109,-0.014
0,A,2010/4/21,0.0218,0.0059,-0.0048
0,A,2010/4/22,-0.0077,0.0088,-0.0072
0,A,2010/4/23,-0.0062,-0.0003,-0.0008
0,A,2010/4/26,-0.0045,0.0033,0.0006
0,A,2010/4/27,-0.0212,-0.0057,-0.0001
0,A,2010/4/28,-0.0041,-0.0007,0.0011
0,A,2010/4/29,-0.0155,-0.0112,0.0061
0,A,2010/4/30,-0.0052,-0.0254,0.0075
0,A,2010/5/4,-0.0107,0.0083,-0.0058
0,A,2010/5/5,0.0118,0.0203,-0.0061
0,A,2010/5/6,-0.0387,0.0111,-0.0077
0,A,2010/5/7,-0.0184,0.0061,-0.0109
0,A,2010/5/10,-0.0005,-0.0186,0.0109
0,A,2010/5/11,-0.0219,-0.0087,0.0001
0,A,2010/5/12,-0.0005,-0.0219,0.0132
0,A,2010/5/13,0.0239,-0.0012,-0.0003
0,A,2010/5/14,-0.0034,0.0072,-0.0101
0,A,2010/5/17,-0.0543,-0.0065,-0.0049
0,A,2010/5/18,0.0173,-0.0081,0.0057
0,A,2010/5/19,-0.0011,-0.0013,-0.0026
0,A,2010/5/20,-0.0137,-0.0075,0.0004
0,A,2010/5/21,0.0161,0.0016,-0.0051
0,A,2010/5/24,0.0376,0.0048,0.0014
0,A,2010/5/25,-0.0174,0.0127,-0.0058
0,A,2010/5/26,0.0016,0.0035,0
0,A,2010/5/27,0.0163,0.0027,-0.0029
0,A,2010/5/28,0.0002,0.0041,-0.0024
0,A,2010/5/31,-0.0255,-0.0024,-0.0074
0,A,2010/6/1,-0.0119,-0.0047,0.0001
0,A,2010/6/2,0.0036,0.0075,-0.0029
0,A,2010/6/3,-0.0062,0.0005,-0.0045
0,A,2010/6/4,0.0037,0.0002,-0.0035
0,A,2010/6/7,-0.014,0.0086,-0.0126
0,A,2010/6/8,0.002,0.0083,-0.0015
0,A,2010/6/9,0.0288,-0.0002,0.0077
0,A,2010/6/10,-0.0075,0.0088,-0.0069
0,A,2010/6/11,0.0009,-0.005,0.0072
0,A,2010/6/17,-0.006,-0.0009,0.0136
0,A,2010/6/18,-0.0244,-0.0192,0.0117
0,A,2010/6/21,0.0311,-0.0014,0.0083
0,A,2010/6/22,0.0031,0.006,0.0002
0,A,2010/6/23,-0.0071,0.0057,-0.0038
0,A,2010/6/24,0.0009,0.0033,-0.0013
0,A,2010/6/25,-0.0083,-0.0043,0.0042
0,A,2010/6/28,-0.0094,-0.0066,0.0049
0,A,2010/6/29,-0.0473,-0.0145,0.0006
0,A,2010/6/30,-0.0139,-0.0082,-0.0088
0,A,2010/7/1,-0.0115,0.0046,0.0071
0,A,2010/7/2,0.001,-0.001,0.0112
0,A,2010/7/5,-0.0069,0.0015,0.0006
0,A,2010/7/6,0.0232,0.0062,-0.0048
0,A,2010/7/7,0.0078,0.0022,-0.0051
0,A,2010/7/8,-0.0019,-0.0005,-0.0011
0,A,2010/7/9,0.0256,-0.0019,-0.0036
0,A,2010/7/12,0.0101,0.0038,0.0008
0,A,2010/7/13,-0.0155,0.0006,-0.0068
0,A,2010/7/14,0.0073,0.0054,0.0035
0,A,2010/7/15,-0.0203,-0.0076,-0.0001
0,A,2010/7/16,0.0017,0.003,-0.0028
