Stkcd,Stknme,EPS,CFOPS,NAPS,DAR,EM,CAR,CLR,GP,NPM,ROE,ROTA,CR,QR,ER,IT,ART,CAT,FAT,TTC,Nnindcd,WindInd
600481,双良节能,0.2665,0.5221,2.6832,66.4765,2.983,54.798,66.9457,14.3386,3.3654,10.1432,3.2246,1.2313,0.9385,2.0906,6.1419,10.9553,1.8775,2.7413,0.9582,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600482,风帆股份,0.17,0.668,2.7394,62.7248,2.6827,55.5789,63.4986,14.6891,1.5862,6.3669,2.2372,1.3954,0.6877,1.7003,4.2558,11.804,2.4039,6.1571,1.4104,CSRC电气机械和器材制造业,Wind汽车与汽车零部件
600483,福建南纺,0.08,-0.2043,2.608,35.0649,1.54,59.8042,94.9856,7.7406,1.8591,3.0132,2.0331,1.7956,1.3163,0.5584,5.7095,26.4294,1.8526,4.1106,1.0936,CSRC纺织业,Wind耐用消费品与服装
600485,中创信测,-0.325,0.1618,3.2223,25.4755,1.3418,85.4997,80.165,40.8191,-18.1706,-9.6092,-7.1079,4.1865,2.8499,0.342,0.7453,2.0887,0.4619,4.2439,0.3912,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600486,扬农化工,1.127,2.5858,11.3865,36.5239,1.5754,73.6885,92.7266,17.9486,9.0045,10.3495,6.7999,2.1758,1.9919,0.5935,9.6445,11.2663,1.0823,2.9102,0.7552,CSRC化学原料和化学制品制造业,Wind材料Ⅱ
600487,亨通光电,1.666,3.3389,11.8666,69.2067,3.2475,63.4984,88.8038,19.6843,5.088,14.9587,4.6781,1.0332,0.7156,2.5742,3.7215,4.0673,1.433,4.6176,0.9194,CSRC电气机械和器材制造业,Wind技术硬件与设备
600488,天药股份,0.134,0.0277,3.7597,29.0585,1.4096,44.4863,26.6898,16.7789,6.0222,5.791,4.0302,5.736,2.5713,0.4144,2.2441,14.2448,1.4879,1.6011,0.6692,CSRC医药制造业,Wind制药、生物科技与生命科学
600489,中金黄金,0.53,0.8315,3.4151,43.9681,1.7847,34.677,65.4081,13.1363,5.7899,16.7196,10.327,1.2058,0.6107,0.9403,9.2077,130.3392,4.9955,6.5138,1.7836,CSRC有色金属矿采选业,Wind材料Ⅱ
600490,鹏欣资源,0.24,0.3461,2.47,32.6214,1.4842,48.6316,53.6049,28.526,22.3388,16.5709,14.7375,2.7811,2.5434,0.9501,8.6344,5.9072,1.3357,1.7849,0.6597,CSRC化学原料和化学制品制造业,Wind制药、生物科技与生命科学
600491,龙元建设,0.42,-0.2744,3.1141,78.6704,4.6883,96.0755,98.1858,7.6948,2.8342,14.1825,2.9738,1.2438,0.6715,3.7572,2.325,4.0417,1.1302,21.758,1.0493,CSRC土木工程建筑业,Wind耐用消费品与服装
600493,凤竹纺织,0.0444,0.7,2.2765,51.6949,2.0702,53.6271,98.6389,5.0202,1.4272,1.9715,0.9611,1.0517,0.7248,1.0702,3.4654,6.6072,1.3308,1.5675,0.6734,CSRC纺织业,Wind耐用消费品与服装
600495,晋西车轴,0.4,-0.4326,5.2953,32.9104,1.4905,58.3056,87.7067,11.8428,4.8125,7.9166,5.3494,2.02,1.4829,0.5164,5.8966,8.1871,1.6955,6.3583,1.1116,CSRC铁路、船舶、航空航天和其他运输设备制造业,Wind资本货物
600496,精工钢构,0.36,-0.6181,3.5815,71.0823,3.4581,77.1397,81.9927,15.9674,3.5208,10.407,3.3374,1.3236,0.5745,2.505,1.8549,5.0151,1.2497,7.7002,0.9479,CSRC建筑装饰和其他建筑业,Wind资本货物
600497,驰宏锌锗,0.3344,1.29,4.4402,71.3392,3.4891,16.8541,65.5007,15.1956,2.8179,9.3065,1.8224,0.3607,0.2377,4.135,6.7595,106.3231,2.9814,3.4203,0.6467,CSRC有色金属矿采选业,Wind材料Ⅱ
600498,烽火通信,0.54,0.7117,10.9246,52.232,2.0935,86.1829,98.2426,26.4749,6.8829,10.854,4.9803,1.6795,1.0466,1.2424,1.5286,3.488,0.8444,9.1086,0.7236,CSRC计算机、通信和其他电子设备制造业,Wind技术硬件与设备
600499,科达洁能,0.427,0.2719,3.7195,47.8877,1.9189,49.6908,67.4562,24.9952,10.2045,12.3684,5.5086,1.5383,1.0094,1.0178,2.3336,9.5322,1.01,3.307,0.5398,CSRC专用设备制造业,Wind资本货物
