section,test1,test2,test3,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,hw9,hw10,hw11,quiz1,quiz2,quiz3,quiz4,quiz5,quiz6,quiz7,quiz8,quiz9,quiz10,quiz11,quiz12,quiz13,project1,project2,final
1,46,73,91,2,11.7,8.5,11,10,8,13,17,7.7,15,26,9,10,9,8,10,9,6,10,10,10,8,10,10,A-,A-,86
3,75,76,94,2,12,9,4,8,8,12.5,17,7,15.8,28,10,10,10,10,10,10,10,10,10,10,9,10,10,A+,A-,103
3,57,64,99,2,12,9,8,10,8,12,17,7.6,16,28,9,10,9,10,10,9,10,10,6,10,9,10,10,C+,C,103
1,54,69,64,2,11,5.7,7,8,8,11,13.3,4.7,0,22,3,7,9,1,7,0,7,4,9,9,0,0,8,B,B,72
2,81,85,81,2,12,9,11,10,8,13,17,7.7,16,27,10,9,10,10,10,8,8,10,10,10,10,9,10,C+,B-,67
3,71,61,81,2,12,9,10,10,8,12,15.6,8.3,16,24,8,6,10,10,10,10,9,10,10,10,10,10,10,A-,A+,81
1,48,57,78,2,11.7,8.2,10,9,7,12.5,14.3,9,16,30,7,8,10,10,7,5,7,10,9,10,10,8,9,B,B,55
1,70,74,85,2,12,9,2,10,8,13,14.5,9,14.8,27,10,10,10,8,10,10,10,7,10,10,10,9,9,A-,B+,86
2,49,84,79,2,9.3,5,8,8,6,11.5,13.5,5.9,10.9,20,10,6,10,10,9,9,10,0,10,10,10,6,10,B+,A+,74
1,84,61,97,2,12,9,7,7,5,10,11,3.7,7,0,3,10,8,0,10,8,9,0,0,10,10,6,10,B,B-,80
1,83,79,69,2,11.7,9,9,10,7,12,16,9,16,0,10,10,10,10,10,10,9,10,10,10,9,10,10,B+,A+,86
2,94,102,102,2,12,9,11,10,8,13,17,9,16,28,10,10,10,10,10,10,10,10,10,10,10,10,10,A+,A-,111
3,64,65,91,2,8.7,9,11,10,8,12,17,9,16,28,10,10,8.5,10,,9,10,10,10,10,8,10,10,B-,A-,72
3,79,78,87,2,12,9,7,8,8,12.5,17,8.3,16,28,10,10,10,9,10,10,10,10,10,10,10,10,10,B,A+,98
1,62,92,88,2,8,9,11,0,8,13,17,7.7,16,0,10,10,10,7,10,10,10,5,10,10,10,10,10,A-,A+,80
2,14,24,61,2,4,0,8,0,0,3.8,6,4,0,28,0,4,4,3,2,1,1,7,8,3,2,2,5,B+,A-,0
3,77,84,69,2,12,9,9,9,8,7.2,13.5,5.3,9.5,28,10,10,9,10,10,9,10,10,10,10,10,10,10,B+,B,92
1,23,43,50,0,0,0,0,0,1,0,0,0,0,0,9,10,9,10,10,10,10,10,10,10,9,10,10,A-,B+,23
2,39,68,75,2,12,9,8,10,8,13,15.1,7.7,16,17,10,8.5,4,7,8,0,9.75,3,10,6,9.5,9,10,C-,A-,81
2,37,51,87,2,9.7,9,11,9,8,10,15.5,7.7,15,28,9,9,7,10,9,10,3.25,10,8.5,10,6,10,7,D,D,52
3,72,76,89,2,12,9,11,10,8,13,17,5.7,16,28,9,10,10,10,10,10,10,10,10,10,10,10,10,B,A-,73
2,59,89,79,0,2,6.8,2,1,7,8,6.2,4.3,10.6,22,10,0,0,9,10,10,7,10,10,10,10,9,10,B+,A+,65
1,60,57,84,2,10.3,9,9,9,8,9,6,7,16,13,10,10,10,0,10,9,0,5,10,10,8,10,8,B-,A-,102
2,42,48,69,2,10,8.7,9,10,8,11,14.3,5,15.5,21,10,6,10,6,10,9,6,10,7,10,8,7,10,B,B,34
3,73,93,88,2,11.7,9,10,10,8,13,16.5,7.7,15.8,28,10,8,7,10,10,10,10,10,9,,,,10,A+,B+,96
2,43,77,65,2,12,9,11,4,7,12,10.9,1.3,13.5,30,0,7,0,9,8,5,7,10,10,8,9,6,10,A+,B,77
2,77,79,83,2,9.7,8.7,9,9,0,11,15,7.7,16,26,10,10,10,10,8,10,8,10,10,10,10,10,10,A+,B,109
3,61,79,77,2,10.7,9,11,9,8,13,15.5,8,16,30,10,10,10,8,10,9,8,8,5,8,9,6,10,A-,A-,90
3,77,81,81,2,12,9,11,9,8,13,17,9,16,28,10,8,8,10,10,9,8,10,10,10,10,10,10,A+,A-,95
2,44,76,78,2,11,8.2,8,9,8,8.5,11.8,4.6,15,28,10,7,10,10,8,5,7,10,8,7,10,5,10,C+,B-,52
1,93,100,89,2,12,9,11,10,8,13,17,8.7,16,28,10,10,10,10,10,9,10,10,10,9,10,10,10,A+,A+,102
1,65,72,85,2,11.7,9,10,10,8,13,17,9,16,30,10,0,9,9,10,9,10,10,10,10,10,0,10,A+,B+,103
1,93,91,98,2,12,9,11,10,8,13,17,7.7,16,28,10,10,10,9.5,10,10,10,7,10,10,10,10,10,C,B+,108
2,41,86,76,2,12,8,8,10,8,13,17,0,15,30,10,10,10,10,10,10,10,10,10,10,10,10,10,A+,A+,36
1,87,100,94,2,12,9,11,10,8,13,15.8,7.7,16,28,10,10,10,10,10,10,10,10,8,10,10,10,10,A-,C+,108
2,41,84,67,2,10,8.7,9,10,8,8,4.5,7.7,16,28,8,10,4,7,10,9,9.5,7.5,10,6,8,6,10,A-,D,61
3,58,70,82,2,11.7,9,11,10,8,11,16,8.7,16,28,4,9,5,6,8,8,8,10,9,10,10,6,10,B-,B,51
1,79,86,65,2,12,9,11,10,8,13,17,9,15,28,10,8,10,10,8,9,8,2,6,10,9,9,10,B-,B-,87
2,83,97,101,2,12,9,11,10,8,13,17,9,15.5,28,9,10,10,10,10,9,10,10,10,10,10,9,10,A-,A+,105
2,65,50,61,2,12,9,9,9,8,13,15.5,7,16,20,10,10,10,9,10,10,10,10,10,10,0,7,10,B-,B-,78
2,57,85,92,2,10.7,9,10,10,8,13,17,5,15,28,10,10,9,9,10,0,9,8,10,7,10,7,8,B+,A-,92
3,41,67,70,2,11.3,9,5,10,8,13,12.3,8.3,7.5,20,10,9,3,10,10,9,10,10,6,7,8,6,10,B-,A-,50
1,29,30,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,A+,0
2,38,52,78,2,8.7,7.3,8,8,7,8.5,10.8,5.5,15,26,0,6,9,3,8,6,8,10,4,10,9,7,7,B-,B-,32
1,82,77,74,2,12,9,9,8,3,13,11.5,9,15,24,7,10,9,8,10,9,9,8,10,9,8,10,10,B,B-,92
1,21,34,51,2,5.7,9,9,10,8,13,17,6.7,0,27,10,2,10,10,9,10,2,10,10,10,9,10,10,B-,A+,0
2,100,89,92,2,12,9,11,10,8,12,16.8,9,16,28,10,10,10,10,9,9,10,10,10,10,10,10,10,A+,B,107
2,79,70,96,2,12,9,11,10,8,12,14,9,16,28,10,10,10,10,10,10,9,10,8,10,0,9,10,A+,A+,103
2,61,81,84,2,11.7,9,11,9.5,8,13,17,8.5,16,30,10,10,10,10,10,10,9,10,10,10,10,10,10,A+,B-,95
1,0,0,0,1,2.7,9,0,0,0,0.5,1.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
2,29,33,0,2,1,9,8,8,7,8,0,0,0,0,10,5,9,7,10,7,10,0,6,0,0,0,0,B+,,0
2,101,53,63,2,10.3,9,2,10,8,0,0,0,0,0,8,9,0,10,10,9,10,10,10,10,10,10,10,A-,A-,80
1,30,68,83,2,11,9,7,9,8,9,13.4,8.1,14,0,10,10,10,10,8,9,9.5,3,10,10,8,10,6,C,A-,55
2,44,53,42,2,10.3,9,9,10,8,10,11,4.7,9.8,23,10,8,9,7,10,9,7,10,4,10,10,7,10,B+,B,29
