STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TMAX,TMIN
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310722,0,356,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310723,0,372,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310724,0,350,222
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310725,8,344,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310726,0,350,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310727,0,344,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310728,0,356,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310729,0,328,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310730,0,300,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310731,81,267,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310801,0,289,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310802,0,278,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310803,0,283,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310804,0,306,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310805,0,322,206
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310806,0,328,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310807,0,339,200
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310808,15,339,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310809,0,294,194
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310810,0,272,189
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310811,0,300,139
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310812,0,294,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310813,0,317,122
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310814,0,328,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310815,0,333,144
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310816,0,322,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310817,3,306,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310818,18,306,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310819,0,317,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310820,0,333,139
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310821,3,317,161
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310822,15,333,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310823,0,306,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310824,0,294,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310825,0,339,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310826,0,350,144
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310827,0,344,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310828,0,322,200
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310829,0,289,161
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310830,0,250,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310831,5,289,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310901,0,272,139
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310902,0,300,139
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310903,0,322,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310904,0,333,133
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310905,0,328,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310906,0,311,178
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310907,0,311,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310908,0,311,183
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310909,0,322,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310910,0,317,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310911,0,311,150
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310912,0,317,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310913,8,250,172
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310914,79,233,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310915,84,289,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310916,48,294,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310917,0,233,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310918,64,256,156
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310919,15,272,139
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310920,10,222,128
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310921,0,233,72
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310922,0,278,67
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310923,241,283,117
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310924,5,267,167
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310925,0,261,106
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310926,0,228,94
GHCND:USW00023050,ALBUQUERQUE INTERNATIONAL AIRPORT NM US,1511.8,35.08333,-106.65,19310927,0,289,106
